Transaction ID,Date,Time,City,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Inventory,Import Cost,Promotion,Holiday
1,2023-11-24,10:40,TP.HCM,CUST001,Male,34,Beauty,3,50,150,79,32.62,No,No
2,2023-02-27,15:07,Hải Phòng,CUST002,Female,26,Clothing,2,500,1000,244,324.7,No,No
3,2023-01-13,19:01,TP.HCM,CUST003,Male,50,Electronics,1,30,30,47,23.44,Yes,No
4,2023-05-21,18:47,TP.HCM,CUST004,Male,37,Clothing,1,500,500,219,324.95,No,No
5,2023-05-06,18:17,Hà Nội,CUST005,Male,30,Beauty,2,50,100,115,32.72,No,No
6,2023-04-25,17:15,Hà Nội,CUST006,Female,45,Beauty,1,30,30,144,22.56,No,No
7,2023-03-13,17:14,Hà Nội,CUST007,Male,46,Clothing,2,25,50,142,17.25,No,No
8,2023-02-22,19:08,Đà Nẵng,CUST008,Male,30,Electronics,4,25,100,97,18.88,Yes,No
9,2023-12-13,11:47,TP.HCM,CUST009,Male,63,Electronics,2,300,600,97,183.92,No,No
10,2023-10-07,14:06,TP.HCM,CUST010,Female,52,Clothing,4,50,200,291,34.88,Yes,No
11,2023-02-14,11:43,Hà Nội,CUST011,Male,23,Clothing,2,50,100,283,30.34,No,No
12,2023-10-30,22:47,Hải Phòng,CUST012,Male,35,Beauty,3,25,75,79,15.31,Yes,No
13,2023-08-05,21:57,Đà Nẵng,CUST013,Male,22,Electronics,3,500,1500,40,390.64,No,No
14,2023-01-17,08:34,Hà Nội,CUST014,Male,64,Clothing,4,30,120,179,18.84,No,No
15,2023-01-16,17:05,Hà Nội,CUST015,Female,42,Electronics,4,500,2000,33,353.24,No,No
16,2023-02-17,21:37,Hà Nội,CUST016,Male,19,Clothing,3,500,1500,248,341.11,No,No
17,2023-04-22,10:27,Hà Nội,CUST017,Female,27,Clothing,4,25,100,106,16.74,No,No
18,2023-04-30,16:02,TP.HCM,CUST018,Female,47,Electronics,2,25,50,59,19.5,No,Yes
19,2023-09-16,20:01,TP.HCM,CUST019,Female,62,Clothing,2,25,50,247,15.11,Yes,No
20,2023-11-05,08:05,Hà Nội,CUST020,Male,22,Clothing,3,300,900,273,219.83,No,No
21,2023-01-14,17:13,TP.HCM,CUST021,Female,50,Beauty,1,500,500,146,396.34,Yes,No
22,2023-10-15,11:14,Hà Nội,CUST022,Male,18,Clothing,2,50,100,201,35.6,No,No
23,2023-04-12,21:32,Hà Nội,CUST023,Female,35,Clothing,4,30,120,283,23.62,No,No
24,2023-11-29,22:38,TP.HCM,CUST024,Female,49,Clothing,1,300,300,150,183.14,No,No
25,2023-12-26,21:01,TP.HCM,CUST025,Female,64,Beauty,1,50,50,69,34.19,Yes,No
26,2023-10-07,14:35,Đà Nẵng,CUST026,Female,28,Electronics,2,500,1000,95,326.02,No,No
27,2023-08-03,19:12,Hà Nội,CUST027,Female,38,Beauty,2,25,50,112,18.65,No,No
28,2023-04-23,19:45,TP.HCM,CUST028,Female,43,Beauty,1,500,500,76,398.13,No,No
29,2023-08-18,11:41,TP.HCM,CUST029,Female,42,Electronics,1,30,30,58,19.54,No,No
30,2023-10-29,19:44,Hà Nội,CUST030,Female,39,Beauty,3,300,900,80,219.25,No,No
31,2023-05-23,08:34,TP.HCM,CUST031,Male,44,Electronics,4,300,1200,92,191.89,Yes,No
32,2023-01-04,16:26,Hà Nội,CUST032,Male,30,Beauty,3,30,90,60,21.39,No,No
33,2023-03-23,11:14,Hà Nội,CUST033,Female,50,Electronics,2,50,100,64,34.64,No,No
34,2023-12-24,10:28,Cần Thơ,CUST034,Female,51,Clothing,3,50,150,236,39.72,Yes,Yes
35,2023-08-05,09:37,Hải Phòng,CUST035,Female,58,Beauty,3,300,900,159,216.51,Yes,No
36,2023-06-24,17:17,Đà Nẵng,CUST036,Male,52,Beauty,3,300,900,144,200.97,Yes,No
37,2023-05-23,12:51,Hà Nội,CUST037,Female,18,Beauty,3,25,75,67,15.57,No,No
38,2023-03-21,18:55,Hà Nội,CUST038,Male,38,Beauty,4,50,200,179,31.51,No,No
39,2023-04-21,09:00,TP.HCM,CUST039,Male,23,Clothing,4,30,120,265,19.35,Yes,No
40,2023-06-22,11:48,TP.HCM,CUST040,Male,45,Beauty,1,50,50,137,32.51,No,No
41,2023-02-22,15:51,Hà Nội,CUST041,Male,34,Clothing,2,25,50,103,19.25,Yes,No
42,2023-02-17,18:10,TP.HCM,CUST042,Male,22,Clothing,3,300,900,207,213.67,No,No
43,2023-07-14,11:44,Hà Nội,CUST043,Female,48,Clothing,1,300,300,225,211.4,Yes,No
44,2023-02-19,17:27,Cần Thơ,CUST044,Female,22,Clothing,1,25,25,127,15.57,No,No
45,2023-07-03,20:21,Hà Nội,CUST045,Female,55,Electronics,1,30,30,75,23.16,No,No
46,2023-06-26,16:17,TP.HCM,CUST046,Female,20,Electronics,4,300,1200,66,223.37,No,No
47,2023-11-06,11:09,Hà Nội,CUST047,Female,40,Beauty,3,500,1500,167,306.77,No,No
48,2023-05-16,08:13,TP.HCM,CUST048,Male,54,Electronics,3,300,900,39,222.47,No,No
49,2023-01-23,19:48,TP.HCM,CUST049,Female,54,Electronics,2,500,1000,75,354.35,No,Yes
50,2023-08-24,08:21,Hà Nội,CUST050,Female,27,Beauty,3,25,75,95,15.41,Yes,No
51,2023-10-02,19:06,Hải Phòng,CUST051,Male,27,Beauty,3,25,75,183,17.29,Yes,No
52,2023-03-05,15:05,Đà Nẵng,CUST052,Female,36,Beauty,1,300,300,119,209.08,No,No
53,2023-07-13,21:24,Cần Thơ,CUST053,Male,34,Electronics,2,50,100,98,31.66,Yes,No
54,2023-02-10,18:06,Đà Nẵng,CUST054,Female,38,Electronics,3,500,1500,88,394.57,Yes,No
55,2023-10-10,22:22,TP.HCM,CUST055,Male,31,Beauty,4,30,120,173,23.1,No,No
56,2023-05-31,12:54,Cần Thơ,CUST056,Female,26,Clothing,3,300,900,219,220.14,No,No
57,2023-11-18,18:22,Hà Nội,CUST057,Female,63,Beauty,1,30,30,161,20.77,No,No
58,2023-11-13,13:38,Hà Nội,CUST058,Male,18,Clothing,4,300,1200,287,204.71,Yes,No
59,2023-07-05,14:16,Hà Nội,CUST059,Male,62,Clothing,1,50,50,251,36.51,Yes,No
60,2023-10-23,17:51,Hà Nội,CUST060,Male,30,Beauty,3,50,150,118,35.45,No,No
61,2023-04-09,19:02,TP.HCM,CUST061,Male,21,Beauty,4,50,200,132,30.62,Yes,No
62,2023-12-27,22:46,Hà Nội,CUST062,Male,18,Beauty,2,50,100,112,35.13,Yes,No
63,2023-02-05,18:29,Đà Nẵng,CUST063,Male,57,Electronics,2,25,50,31,19.03,No,No
64,2023-01-24,13:34,TP.HCM,CUST064,Male,49,Clothing,4,25,100,171,17.3,No,Yes
65,2023-12-05,13:07,Hà Nội,CUST065,Male,51,Electronics,4,500,2000,77,305.2,No,No
66,2023-04-27,18:59,TP.HCM,CUST066,Female,45,Electronics,1,30,30,51,22.72,Yes,No
